MutationType	SP111062	SP111006	SP110846	SP111086	SP111096	SP111021	SP111058	SP111092	SP111076	SP111098	SP111039	SP111052	SP111166	SP111014	SP111066	SP111094	SP111015	SP110853	SP111051	SP110855	SP111004	SP111078	SP110863	SP111013	SP111042	SP111040	SP111031	SP23496	SP111030	SP111019	SP111026	SP110860	SP110851	SP111059	SP111170	SP111054	SP111033	SP111113	SP110865	SP111061	SP111101	SP110859	SP111168	SP111067	SP111036	SP111116	SP111099	SP23502	SP111069	SP111043	SP111024	SP111011	SP111082	SP111074	SP110845	SP110857	SP111017	SP111080	SP23506	SP111075	SP111112	SP111001	SP111027	SP111117	SP110842	SP111173	SP111008	SP111070	SP110847	SP111077	SP111091	SP111072	SP111084	SP23504	SP23500	SP111029	SP111175	SP111049	SP23498	SP111002	SP110866	SP111035	SP111009	SP111114	SP111000	SP111045	SP110861	SP111047	SP111088	SP111056	SP111089	SP111038	SP110849	SP111164	SP111057	SP111119	SP111095	SP111064	CPCT02030245T	CPCT02030257T	CPCT02070015T	CPCT02040043T	CPCT02100032T	CPCT02160007T	CPCT02030286T	CPCT02100140T	CPCT02100141T	CPCT02330072TII	CPCT02330132T	CPCT02130030T	CPCT02060183T	CPCT02130033T	CPCT02300031T	CPCT02180054T	CPCT02090037T	CPCT02130041T	CPCT02060200T	WIDE01010009T	CPCT02330094T	CPCT02110061T	WIDE01010016T	CPCT02230070T	CPCT02340070T	CPCT02340073T	CPCT02050330T	CPCT02340077T	WIDE01010064T	CPCT02050314T	CPCT02220037T	WIDE01010073T	CPCT02210045T	CPCT02100163T	CPCT02130049T	CPCT02050343T	CPCT02020712T	CPCT02130070T	CPCT02130071T	DRUP01020027T	CPCT02050349T	CPCT02040242T	CPCT02300039T	CPCT02010815T	CPCT02010813T	WIDE01010355T	CPCT02330072T	CPCT02130091T	CPCT02230097T	CPCT02050357T	CPCT02010833T	CPCT02060213T	CPCT02130107T	CPCT02070342T	CPCT02050362T	CPCT02150012T	DRUP01210002T	CPCT02130105T	CPCT02100176T	CPCT02230106T	CPCT02060199T	DRUP01330005T	CPCT02120150T	CPCT02060248T	CPCT02060255T	DRUP01010088T	CPCT02440014T	CPCT02050384T	CPCT02030519T	CPCT02050380T	CPCT02130140T	CPCT02220056T	DRUP01210003T	DRUP01050030T	CPCT02210067T	CPCT02150021T	CPCT02080255T	CPCT02330124T	CPCT02100186T	CPCT02050403T	DRUP01330013T	DRUP01050033T	DRUP01440001T	CPCT02040156T	DRUP01340013T	CPCT02080141T	CPCT02010662T	CPCT02120069T	CPCT02100126T	CPCT02380021T	CPCT02020622T	CPCT02340034T	CPCT02210033T	CPCT02050163T	CPCT02030277T	CPCT02100064T	CPCT02010569T	CPCT02110032T	CPCT02340011T	CPCT02330033T	CPCT02040119T	CPCT02020536T	CPCT02340012T	CPCT02020527T	CPCT02020526T	CPCT02100098T	CPCT02230029T	CPCT02230030T	CPCT02230034T	CPCT02070034T	CPCT02030363T	CPCT02230039T	CPCT02080130T	CPCT02340019T	CPCT02050233T	CPCT02100044T	CPCT02050100T	CPCT02030243T	CPCT02050041T	CPCT02030310T	CPCT02220007T	CPCT02030307T	CPCT02030304T	CPCT02110018T	CPCT02100061T	CPCT02070120T	CPCT02120011T	CPCT02120012T	CPCT02050147T	CPCT02030335T	CPCT02040108T	CPCT02400002T	CPCT02340041T	CPCT02380030T	CPCT02040196T	CPCT02230068T	CPCT02100127T	CPCT02100133T	CPCT02090026T	CPCT02050287T	CPCT02050292T	DRUP01050016T	CPCT02250004T	WIDE01010644T	WIDE01010539T	WIDE01010590T	WIDE01010691T	WIDE01010704T	WIDE01010725T
5:Ins:R:2	0	2	0	1	0	0	3	0	1	0	0	1	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	2	0	0	2	1	0	0	1	1	1	0	0	0	1	1	1	2	0	1	0	0	0	1	1	0	1	0	2	0	0	0	1	2	4	1	0	1	0	0	0	0	0	0	1	3	0	1	3	0	2	0	0	0	1	2	1	0	1	1	0	0	1	1	1	2	1	0	0	1	0	2	4	1	3	2	1	1	2	1	1	1	3	2	1	0	1	1	2	3	0	1	0	4	1	4	0	4	2	3	0	0	0	0	3	1	2	2	3	1	1	1	1	0	1	2	0	2	0	0	2	3	0	1	3	1	2	1	1	0	0	5	0	1	2	7	2	0	1	1	5	1	1	0	0	1	1	3	1	0	2	0	1	2	2	4	4	0	0	5	0	2	0	0	3	0	0	1	1	1	0	2	4	2	2	0	3	3	1	1	3	2	0	2	0	0	0	2	1	0	0	1	4	4	0	1	2	2	0	3	1	2	1	0	2	0	1	2	0	2	2	0	1	4
5:Ins:R:3	0	1	1	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	2	1	0	0	2	1	1	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	1	0	0	1	0	0	0	0	0	2	0	1	0	0	0	1	3	0	0	0	0	0	0	0	1	1	0	0	0	0	1	1	1	0	1	3	0	2	0	1	1	1	2	1	0	0	3	0	1	0	1	0	1	0	2	3	0	0	2	2	0	3	0	0	1	0	2	0	0	0	0	2	0	0	3	1	3	0	0	1	0	1	0	0	0	1	2	0	2	2	0	0	2	2	0	0	1	2	0	1	1	5	0	2	0	0	0	1	0	0	0	1	0	1	0	3	0	2	1	2	2	2	0	2	1	2	0	2	0	1	1	2	0	0	0	0	0	0	1	1	0	1	0	0	2	1	0	2	0	4	1	0	0	1	1	0	0	1	1	2	1	0	1	4	0	2	1	0	0	1	0	2	1	0	1	2	3	0	1	0
5:Ins:R:4	0	2	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	2	2	0	0	1	0	0	0	2	0	0	0	0	1	0	0	0	0	1	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	1	1	0	2	1	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	2	1	1	2	0	0	0	1	0	0	1	1	0	0	1	1	1	0	1	0	0	1	2	0	3	2	0	0	0	0	1	0	0	0	0	2	0	2	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	1	2	2	0	0	3	1	1	0	1	0	1	0	0	0	0	0	3	0	1	0	1	1	0	0	2	1	1	1	1	0	3	0	0	0	0	0	0	0	1	0	1	1	1	0	0	2	0	2	1	0	0	0	1	2	0	1	0	0	1	0	2	1	1	0	1	0	1	2	3	0	1	0	0	1	0	2	0	0	2	0	0	1	0
5:Ins:R:5	0	0	1	0	0	0	0	1	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	1	0	0	2	0	1	0	1	0	0	3	1	0	0	0	0	0	0	1	1	0	1	2	0	0	0	0	0	0	0	1	1	0	0	0	2	0	0	1	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	1	1	0	3	1	0	1	1	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	1	1	0	0	0	1	0	1	0	0	0	0	0	0	1	1	0	1	0	2	0	0	0	1	0	0	1	0	0	0	0	1	1	0	1	0	1	0	0	3	1	0	0	0	0	1	1	0	0	0	0	0	0	1	1	0	1	0	0	0	1	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	1	0	0	1	1	1	0	0	0	0	1	1	1	2	1	0	0	0
2:Del:M:1	14	18	16	24	7	0	11	19	12	10	1	5	22	3	16	35	3	17	4	15	25	11	9	7	0	7	22	8	9	8	14	12	25	15	23	11	12	24	19	13	15	7	10	9	13	16	21	15	13	20	9	27	13	11	18	10	10	2	17	12	11	29	4	14	19	11	12	17	22	24	10	11	16	12	8	5	27	15	15	5	7	11	10	21	17	16	22	23	19	17	7	28	14	18	12	41	24	19	15	22	11	17	15	15	21	22	26	31	31	10	35	9	16	18	19	19	13	14	21	18	2	24	14	11	18	8	51	9	21	18	21	11	40	13	19	19	7	27	29	14	13	22	11	21	16	25	11	20	21	9	17	10	10	40	17	5	23	26	3	32	24	8	13	20	30	11	21	39	303	24	17	13	15	25	29	16	24	9	27	18	37	11	30	22	17	25	24	19	34	30	13	16	43	9	47	16	14	10	14	24	14	8	32	15	15	29	13	19	7	24	21	17	20	12	15	20	44	31	14	17	16	14	14	17	32	24	22	49	20	16	41	19	29	13	27	11	18	22	16	35	19	15	33	27	7	14	17
3:Del:M:1	1	6	2	4	5	0	2	4	2	3	1	1	7	0	4	6	2	5	1	1	4	0	5	1	1	3	2	1	1	2	7	3	1	2	4	4	3	4	7	1	5	4	2	0	2	2	4	4	3	5	3	0	2	1	2	0	5	2	0	4	3	2	0	2	3	1	3	4	5	1	2	4	1	3	1	1	5	1	2	4	1	3	3	8	2	5	1	2	6	2	4	2	2	5	2	5	1	1	3	3	2	4	2	3	6	1	3	3	14	1	2	4	3	3	3	4	2	2	7	7	2	4	0	0	2	5	5	2	2	4	4	5	11	3	6	5	3	13	2	5	2	1	5	5	2	8	3	4	7	0	1	2	4	15	5	1	6	9	3	7	10	2	0	7	2	7	2	9	38	4	2	4	0	2	2	1	7	4	6	2	3	4	4	3	1	6	5	4	9	3	4	3	13	3	7	5	2	1	6	2	4	0	5	4	1	6	3	5	1	8	4	7	8	2	2	13	17	9	5	2	5	1	6	6	4	0	3	3	11	6	6	4	4	4	2	2	2	3	3	11	1	5	2	5	2	2	10
3:Del:M:2	7	14	10	12	7	0	6	10	8	11	6	4	11	2	3	16	1	6	4	25	16	4	5	2	2	5	13	8	4	3	5	11	13	13	10	8	6	20	18	11	8	12	7	7	11	14	17	14	7	9	10	21	4	7	4	4	7	6	10	4	11	21	1	9	14	3	7	15	8	18	6	8	8	5	5	6	13	7	14	4	13	2	9	13	7	14	12	20	10	11	10	15	7	9	6	29	13	15	9	15	13	5	5	9	10	12	12	19	12	6	17	9	6	13	9	8	7	12	12	11	9	20	5	4	4	7	15	3	13	9	19	11	34	13	7	5	5	12	4	12	7	13	6	16	12	18	3	11	12	2	10	5	9	28	18	0	9	12	7	12	13	5	6	13	11	7	10	21	166	6	8	5	11	12	7	12	8	3	10	2	12	12	13	6	7	18	13	5	27	16	11	8	19	3	19	2	6	5	7	15	3	4	16	12	7	17	8	9	3	16	21	14	19	13	8	5	33	5	10	9	6	7	8	9	20	8	13	23	16	11	14	8	30	9	14	6	9	10	6	18	10	6	12	16	6	5	7
4:Del:M:1	1	2	3	3	3	0	4	3	1	3	1	1	5	2	2	3	1	5	1	6	6	1	2	1	0	1	3	1	0	4	4	4	0	6	5	1	2	6	9	6	2	0	0	1	2	4	7	4	3	4	1	5	3	2	5	2	3	0	1	2	0	3	0	3	0	1	4	4	2	4	4	2	2	1	2	2	4	1	5	3	2	2	4	6	1	3	1	3	7	2	1	5	3	2	2	4	1	2	5	6	1	1	1	10	2	4	5	4	13	2	11	5	1	3	6	5	4	4	5	10	0	6	6	0	2	2	7	3	4	2	3	1	14	3	3	7	4	11	1	8	2	4	4	3	3	13	3	6	5	2	6	5	2	16	3	2	8	11	0	8	6	2	1	3	5	5	8	8	62	2	1	3	4	7	6	2	3	3	4	2	6	8	6	4	2	7	6	4	8	7	2	8	11	2	7	7	5	1	4	7	5	4	8	0	1	6	2	5	2	9	10	7	4	3	0	1	18	12	2	2	5	2	2	5	8	6	8	6	8	5	6	5	9	2	5	1	4	2	4	7	3	5	4	7	7	4	11
4:Del:M:2	7	7	5	8	3	0	4	7	4	2	3	1	6	1	1	13	0	6	0	7	8	2	6	5	2	3	9	4	2	4	6	6	6	7	7	4	3	5	12	7	2	5	2	3	7	8	10	13	7	10	6	9	1	4	5	6	6	2	4	5	3	8	3	5	10	6	5	4	2	9	6	3	5	3	1	1	8	9	3	2	4	3	8	10	3	5	4	7	4	6	6	6	5	10	1	15	15	6	5	5	4	3	5	8	5	6	9	7	8	0	12	6	4	7	3	4	2	4	4	7	4	9	7	3	5	5	6	2	13	7	6	4	19	5	11	7	3	11	5	8	4	7	3	7	4	12	1	11	8	7	6	3	4	20	5	5	7	9	3	13	9	3	4	5	5	5	5	9	57	9	2	5	2	6	9	3	6	4	11	3	4	4	4	2	4	6	8	8	24	5	4	5	9	2	14	10	6	2	11	8	4	3	12	8	8	11	2	2	4	8	14	5	5	2	3	9	15	5	5	11	3	4	5	5	7	3	8	21	6	4	7	3	12	3	10	6	4	12	6	10	6	4	8	12	2	3	15
4:Del:M:3	9	7	4	3	11	0	5	12	11	4	1	1	8	1	4	25	1	12	4	9	7	4	7	8	0	0	14	5	3	0	6	8	11	10	13	4	9	12	21	3	2	5	1	8	4	5	21	19	4	9	3	14	5	4	7	6	8	4	9	4	6	6	5	7	13	4	5	7	3	10	8	9	8	3	3	2	12	11	9	7	5	5	11	12	5	5	8	13	9	5	6	11	1	7	5	23	10	9	10	10	8	4	3	4	6	3	12	12	22	5	12	11	6	8	9	5	12	7	7	10	5	10	7	4	6	7	9	3	13	6	16	5	24	10	9	5	6	9	4	9	3	9	8	9	8	16	3	13	7	7	15	7	7	19	14	4	4	7	2	29	11	10	4	7	12	9	14	13	90	4	7	6	4	9	8	3	6	3	19	7	13	4	13	9	2	12	14	3	19	19	5	14	15	5	18	3	4	1	1	13	13	4	8	4	7	7	5	8	5	12	17	12	15	6	5	10	25	9	5	5	2	4	11	13	17	11	9	22	18	1	17	4	19	7	17	7	8	9	10	19	7	4	7	12	4	9	11
5:Del:M:1	6	22	11	39	12	0	30	83	14	13	4	6	26	3	14	21	6	22	17	18	17	2	17	16	2	12	12	12	10	7	17	21	24	27	25	8	16	31	93	9	9	9	6	6	11	9	14	29	18	34	21	13	13	14	17	7	12	7	18	15	11	46	8	24	15	10	18	20	8	30	7	13	17	7	6	2	33	15	12	8	6	15	19	15	5	27	18	19	14	15	12	23	11	12	8	15	18	13	25	23	13	21	27	46	21	28	17	19	70	21	23	19	20	25	28	45	17	17	27	44	10	13	15	20	27	18	20	21	25	25	26	23	121	40	60	51	26	84	36	73	21	29	17	29	16	63	21	35	41	10	31	19	25	77	28	21	39	76	2	30	41	14	11	13	20	34	32	50	195	18	21	26	12	32	28	20	31	15	25	25	44	25	31	30	33	36	22	25	90	37	35	38	45	12	35	24	10	21	26	47	22	17	33	19	17	23	11	25	14	42	58	19	29	15	13	32	94	45	21	30	23	8	15	17	28	31	32	22	25	27	43	17	45	25	38	24	24	39	21	45	18	10	25	35	12	29	169
5:Del:M:2	11	33	10	19	10	0	22	130	11	11	3	2	21	3	12	17	11	28	16	26	12	3	11	8	0	18	11	10	12	7	12	17	17	32	21	22	12	31	125	10	15	8	8	10	5	15	11	23	15	45	26	13	8	23	13	8	14	5	9	6	10	37	1	25	14	10	10	14	5	29	5	9	21	11	4	6	41	12	15	7	8	13	38	21	3	22	10	19	13	18	10	16	5	9	12	16	11	20	32	18	9	10	27	32	14	31	23	24	40	12	41	9	16	14	31	21	15	10	15	45	10	22	7	13	16	19	17	15	19	41	24	18	87	29	64	37	18	45	45	112	14	27	15	33	10	51	7	34	28	9	20	10	14	94	21	20	26	48	5	37	32	8	5	19	20	17	20	31	94	18	12	15	14	23	26	13	13	11	27	14	23	10	41	30	9	27	11	19	89	29	24	29	28	8	24	37	6	14	25	32	10	7	46	14	21	28	10	20	8	68	38	17	24	12	9	32	159	36	20	32	20	12	14	9	20	16	25	15	17	15	50	19	31	6	21	8	19	57	20	27	17	10	20	38	9	25	369
5:Del:M:3	9	14	7	14	9	0	21	109	11	10	1	2	12	3	7	14	8	20	17	9	6	2	5	4	1	5	8	11	2	5	12	7	11	13	22	15	21	25	126	4	6	5	6	6	6	7	6	13	12	45	12	11	5	17	9	8	10	4	15	7	10	13	4	14	14	11	6	10	3	15	7	7	15	6	2	0	35	12	24	4	4	7	27	10	3	15	13	14	6	10	6	12	6	12	7	15	10	8	29	13	5	13	24	26	9	16	14	14	27	12	14	13	13	13	15	7	8	9	8	35	14	7	8	16	12	6	16	10	13	25	13	12	42	29	19	32	6	31	30	79	10	12	8	17	8	29	11	22	14	8	13	10	8	62	13	18	14	32	2	29	18	12	7	10	16	20	12	29	73	3	14	17	8	11	21	7	12	5	20	13	24	7	31	13	11	8	11	17	87	18	21	15	25	9	23	11	7	10	10	17	8	5	39	10	11	12	5	13	6	61	32	11	13	9	4	17	127	15	11	34	16	3	14	7	17	13	22	23	18	8	37	13	32	6	21	7	8	47	15	18	12	8	7	34	6	21	274
5:Del:M:4	2	6	4	3	5	0	6	60	5	4	2	0	5	0	4	12	5	10	13	14	2	3	4	2	0	7	6	6	6	2	2	7	4	9	13	8	14	12	56	5	3	5	5	4	2	3	3	9	4	18	4	9	5	8	7	7	4	2	5	4	2	12	1	16	11	3	6	8	3	11	3	0	9	6	3	1	15	7	7	0	3	8	21	12	1	7	2	9	11	4	5	8	2	6	8	9	9	1	8	13	4	7	12	7	6	16	9	8	14	0	12	4	6	5	8	7	6	3	16	12	4	8	3	4	7	3	11	3	3	9	5	6	24	12	13	15	13	24	13	43	9	16	3	12	11	21	4	8	17	4	10	2	10	39	6	15	9	17	0	7	8	4	4	2	13	6	7	14	38	2	8	3	6	7	12	1	10	4	11	6	16	5	11	9	0	8	10	5	42	16	5	8	16	4	12	2	2	2	6	18	7	3	30	5	8	10	3	9	7	38	18	9	11	4	7	7	68	10	5	17	7	5	4	6	6	8	13	16	9	5	15	5	19	5	11	5	6	24	6	13	4	4	6	15	2	10	178
5:Del:M:5	5	18	9	11	6	0	8	47	6	8	3	2	9	1	6	8	2	14	9	13	7	0	6	2	1	4	13	3	3	7	6	7	10	8	28	14	16	11	51	3	5	4	3	8	3	7	5	12	9	16	7	6	14	9	5	3	8	3	8	9	4	11	3	18	6	7	3	8	11	12	0	8	9	3	2	2	25	5	4	3	3	6	27	17	5	11	7	10	9	6	7	12	8	6	4	10	16	2	21	22	13	8	13	7	13	13	13	10	20	6	11	10	5	16	24	9	16	19	9	18	7	4	24	4	9	4	22	10	15	17	22	7	33	27	10	21	9	26	8	43	5	10	9	25	8	23	8	22	16	8	13	4	9	53	16	11	15	11	1	17	12	11	7	8	13	14	20	19	52	5	14	12	4	52	13	17	12	13	12	8	13	5	21	16	10	7	18	16	45	11	18	20	19	6	14	10	6	6	11	17	10	9	20	7	12	21	5	14	4	29	16	11	12	9	8	10	60	5	3	18	6	9	8	5	20	23	20	13	13	8	28	9	12	7	22	11	9	29	17	24	5	3	26	35	11	13	137
